split,sample_index,e_dim1,e_dim2,z_dim1,z_dim2,gmm_cluster_id,selected_expert_hungarian,hour,workday_or_holiday,gmm_confidence,embedding_method_e,embedding_method_z
test,0,0.14222070574760437,0.3311367928981781,-0.19432543218135834,0.13789278268814087,1,2,15,workday,1.0,pca,pca
test,1,-0.026802074164152145,0.3312779664993286,-0.18910787999629974,0.1488254815340042,1,2,16,workday,1.0,pca,pca
test,2,-0.09984827041625977,0.3137364983558655,-0.06078054755926132,0.17561113834381104,1,2,16,workday,1.0,pca,pca
test,3,-0.21566429734230042,0.31312307715415955,-0.0017805895768105984,0.1917654275894165,1,2,17,workday,1.0,pca,pca
test,4,-0.08732913434505463,0.30583879351615906,-0.03813475742936134,0.17530129849910736,1,2,17,workday,1.0,pca,pca
test,5,0.04630563035607338,0.21491988003253937,-0.14942802488803864,0.11621034145355225,1,2,18,workday,1.0,pca,pca
test,6,0.2806391417980194,0.026333512738347054,-0.3109683394432068,0.029069820418953896,0,0,18,workday,1.0,pca,pca
test,7,0.5097274780273438,-0.32193827629089355,-0.45284271240234375,-0.03252840042114258,0,0,19,workday,1.0,pca,pca
test,8,0.5612872242927551,-0.4061896502971649,-0.5163754224777222,-0.06817121058702469,0,0,19,workday,1.0,pca,pca
test,9,0.6334521174430847,-0.3314107358455658,-0.5367931723594666,-0.10262346267700195,0,0,20,workday,1.0,pca,pca
test,10,0.4941484034061432,-0.08855355530977249,-0.49663254618644714,-0.09637690335512161,0,0,20,workday,1.0,pca,pca
test,11,0.6701960563659668,0.11622875183820724,-0.4185081422328949,-0.0719892755150795,0,0,21,workday,1.0,pca,pca
test,12,0.5473940968513489,0.13074585795402527,-0.4002969264984131,-0.07278744876384735,0,0,21,workday,1.0,pca,pca
test,13,0.561528742313385,0.11803007870912552,-0.38496363162994385,-0.08145444840192795,0,0,22,workday,1.0,pca,pca
test,14,0.5235596895217896,0.19996367394924164,-0.31820932030677795,-0.07087834924459457,0,0,22,workday,1.0,pca,pca
test,15,0.27768099308013916,0.14583276212215424,-0.2395831048488617,-0.057252805680036545,0,0,23,workday,1.0,pca,pca
test,16,0.04384038597345352,0.08251599222421646,-0.07086104899644852,-0.03431928530335426,1,2,23,workday,1.0,pca,pca
test,17,-0.19410982728004456,0.13174888491630554,0.09739097952842712,-0.004735011141747236,1,2,0,workday,1.0,pca,pca
test,18,-0.4525713622570038,0.1342562437057495,0.23006218671798706,0.01680995151400566,1,2,0,workday,1.0,pca,pca
test,19,-0.638774037361145,-0.019934529438614845,0.39887735247612,0.02623012475669384,2,1,1,workday,1.0,pca,pca
test,20,-0.7333229780197144,0.06408094614744186,0.5093907713890076,0.023888638243079185,2,1,1,workday,1.0,pca,pca
test,21,-0.8440715074539185,-0.09928424656391144,0.593441903591156,0.022484030574560165,2,1,2,workday,1.0,pca,pca
test,22,-0.8927226662635803,-0.11092666536569595,0.6554539799690247,0.026496147736907005,2,1,2,workday,1.0,pca,pca
test,23,-0.8683772683143616,-0.2953464686870575,0.6875085830688477,0.01299327239394188,2,1,3,workday,1.0,pca,pca
test,24,-0.879741907119751,-0.4389851987361908,0.7162746787071228,0.01760956645011902,2,1,3,workday,1.0,pca,pca
test,25,-0.8801860213279724,-0.5011630058288574,0.7581455111503601,0.03906417638063431,2,1,4,workday,1.0,pca,pca
test,26,-0.8689915537834167,-0.4775097370147705,0.7756023406982422,0.009019196033477783,2,1,4,workday,1.0,pca,pca
test,27,-0.9189871549606323,-0.1921805888414383,0.7602961659431458,-0.04540736600756645,2,1,5,workday,1.0,pca,pca
test,28,-0.9145663976669312,-0.18762080371379852,0.7384223341941833,-0.09222080558538437,2,1,5,workday,1.0,pca,pca
test,29,-0.470772922039032,0.07858438044786453,0.6839535236358643,-0.22459903359413147,1,2,6,workday,1.0,pca,pca
test,30,-0.19471116364002228,0.08183213323354721,0.5797038674354553,-0.34382370114326477,1,2,6,workday,1.0,pca,pca
test,31,0.007935219444334507,0.2891732156276703,0.3145653009414673,-0.4609249532222748,1,2,7,workday,1.0,pca,pca
test,32,-0.01015450619161129,0.09859008342027664,0.04703695699572563,-0.4376942813396454,1,2,7,workday,1.0,pca,pca
test,33,0.3754313588142395,-0.2851174473762512,-0.22352255880832672,-0.4584150016307831,0,0,8,workday,1.0,pca,pca
test,34,0.5461386442184448,-0.407724529504776,-0.3176417350769043,-0.3490679860115051,0,0,8,workday,1.0,pca,pca
test,35,0.7901274561882019,-0.4379366934299469,-0.4057750701904297,-0.3211058974266052,0,0,9,workday,1.0,pca,pca
test,36,0.7482025623321533,-0.31354519724845886,-0.4096067547798157,-0.2269088327884674,0,0,9,workday,1.0,pca,pca
test,37,0.5197095274925232,-0.0249947439879179,-0.36310097575187683,-0.14386895298957825,0,0,10,workday,1.0,pca,pca
test,38,0.38000088930130005,0.0628766119480133,-0.3093877136707306,-0.05210866406559944,0,0,10,workday,1.0,pca,pca
test,39,0.332308292388916,0.15463009476661682,-0.2711615562438965,0.03650820627808571,0,0,11,workday,1.0,pca,pca
test,40,0.2157643884420395,0.21506980061531067,-0.24051572382450104,0.053110744804143906,0,0,11,workday,0.9996598958969116,pca,pca
test,41,0.3684839904308319,-0.04484967887401581,-0.26788529753685,0.06107538193464279,0,0,12,workday,1.0,pca,pca
test,42,0.4096665680408478,-0.18059200048446655,-0.3099791705608368,0.05179458484053612,0,0,12,workday,1.0,pca,pca
test,43,0.31029951572418213,0.028216669335961342,-0.3005622327327728,0.06603624671697617,0,0,13,workday,1.0,pca,pca
test,44,0.25459766387939453,0.15317536890506744,-0.24069930613040924,0.11847969889640808,0,0,13,workday,1.0,pca,pca
test,45,0.29596075415611267,0.1905769258737564,-0.2591976225376129,0.09825770556926727,0,0,14,workday,0.9999992847442627,pca,pca
test,46,0.31989753246307373,0.28005942702293396,-0.24389813840389252,0.09596008062362671,1,2,14,workday,0.9982113838195801,pca,pca
test,47,0.42323899269104004,0.04607773944735527,-0.27452802658081055,0.09631797671318054,0,0,15,workday,1.0,pca,pca
