category_type,category,expert_0,expert_1,expert_2
workday_holiday,holiday,1.0,0.0,0.0
workday_holiday,workday,1.0,0.0,0.0
hour,0,1.0,0.0,0.0
hour,1,1.0,0.0,0.0
hour,2,1.0,0.0,0.0
hour,3,1.0,0.0,0.0
hour,4,1.0,0.0,0.0
hour,5,1.0,0.0,0.0
hour,6,1.0,0.0,0.0
hour,7,1.0,0.0,0.0
hour,8,1.0,0.0,0.0
hour,9,1.0,0.0,0.0
hour,10,1.0,0.0,0.0
hour,11,1.0,0.0,0.0
hour,12,1.0,0.0,0.0
hour,13,1.0,0.0,0.0
hour,14,1.0,0.0,0.0
hour,15,1.0,0.0,0.0
hour,16,1.0,0.0,0.0
hour,17,1.0,0.0,0.0
hour,18,1.0,0.0,0.0
hour,19,1.0,0.0,0.0
hour,20,1.0,0.0,0.0
hour,21,1.0,0.0,0.0
hour,22,1.0,0.0,0.0
hour,23,1.0,0.0,0.0
rush_hour,non_rush_hour,1.0,0.0,0.0
rush_hour,rush_hour,1.0,0.0,0.0
