matrix,row,col,cosine
env_prototypes,0,0,0.9999999999999998
env_prototypes,0,1,0.6525131686126727
env_prototypes,0,2,0.48229332601819086
env_prototypes,1,0,0.6525131686126727
env_prototypes,1,1,1.0000000000000002
env_prototypes,1,2,0.5736949195863165
env_prototypes,2,0,0.48229332601819086
env_prototypes,2,1,0.5736949195863165
env_prototypes,2,2,0.9999999999999999
expert_prediction_signature,0,0,1.0
expert_prediction_signature,0,1,0.9996964462861951
expert_prediction_signature,0,2,0.9996787118138653
expert_prediction_signature,1,0,0.9996964462861951
expert_prediction_signature,1,1,0.9999999999999998
expert_prediction_signature,1,2,0.9997209768714077
expert_prediction_signature,2,0,0.9996787118138653
expert_prediction_signature,2,1,0.9997209768714077
expert_prediction_signature,2,2,0.9999999999999997
