category,rank,local_index,sample_index,figure,delta_hat,delta_true,L_env,L_inv,observable_load_score,learned_route,correct,sample_net_gain,sample_regret,time_label
correct_invariant,1,244,244,case_correct_invariant_1_sample244.png,-0.10183990746736526,-0.6100635528564453,14.170348167419434,13.560284614562988,0.18549999594688416,invariant,True,0.6100635528564453,0.0,17
correct_invariant,2,206,206,case_correct_invariant_2_sample206.png,-0.44813504815101624,-0.5988340377807617,15.593469619750977,14.994635581970215,0.1720000058412552,invariant,True,0.5988340377807617,0.0,22
correct_invariant,3,534,534,case_correct_invariant_3_sample534.png,-0.17702694237232208,-0.5604085922241211,11.428876876831055,10.868468284606934,0.17649999260902405,invariant,True,0.5604085922241211,0.0,18
harmful_switch,1,533,533,case_harmful_switch_1_sample533.png,-0.740523099899292,0.3170804977416992,8.951269149780273,9.268349647521973,0.16750000417232513,invariant,False,-0.3170804977416992,0.3170804977416992,18
harmful_switch,2,541,541,case_harmful_switch_2_sample541.png,-0.09074446558952332,0.27199268341064453,9.155447006225586,9.42743968963623,0.18199999630451202,invariant,False,-0.27199268341064453,0.27199268341064453,22
harmful_switch,3,5,5,case_harmful_switch_3_sample5.png,-0.16994546353816986,0.18816471099853516,11.774616241455078,11.962780952453613,0.17399999499320984,invariant,False,-0.18816471099853516,0.18816471099853516,18
missed_invariant_gain,1,535,535,case_missed_invariant_gain_1_sample535.png,0.6910160183906555,-1.1500349044799805,13.69991683959961,12.549881935119629,0.1899999976158142,environment,False,0.0,1.1500349044799805,19
missed_invariant_gain,2,372,372,case_missed_invariant_gain_2_sample372.png,1.2442635297775269,-0.9755458831787109,23.000539779663086,22.024993896484375,0.23749999701976776,environment,False,0.0,0.9755458831787109,9
missed_invariant_gain,3,41,41,case_missed_invariant_gain_3_sample41.png,0.6254135370254517,-0.8679361343383789,13.007185935974121,12.139249801635742,0.1850000023841858,environment,False,0.0,0.8679361343383789,12
correct_environment,1,194,194,case_correct_environment_1_sample194.png,0.42522722482681274,1.4674348831176758,12.266423225402832,13.733858108520508,0.1899999976158142,environment,True,0.0,0.0,16
correct_environment,2,482,482,case_correct_environment_2_sample482.png,1.1375060081481934,1.442051887512207,13.016196250915527,14.458248138427734,0.22450000047683716,environment,True,0.0,0.0,40
correct_environment,3,152,152,case_correct_environment_3_sample152.png,0.8860318660736084,1.423299789428711,18.55194091796875,19.97524070739746,0.23399999737739563,environment,True,0.0,0.0,43
