sample_index,delta_hat,delta_true,category
0,0.6540976762771606,0.03132057189941406,correct_environment
1,0.5093158483505249,0.8437986373901367,correct_environment
2,0.3966764807701111,0.23279380798339844,correct_environment
3,0.4448014795780182,0.2738189697265625,correct_environment
4,0.1535874903202057,0.9197626113891602,correct_environment
5,-0.16994546353816986,0.18816471099853516,harmful_switch
6,0.7954843640327454,-0.18962860107421875,missed_gain
7,0.6544427871704102,0.567692756652832,correct_environment
8,0.7174504399299622,-0.3667917251586914,missed_gain
9,0.8813357353210449,-0.03587532043457031,missed_gain
10,0.5201684236526489,0.3463268280029297,correct_environment
11,0.6560394763946533,0.12778472900390625,correct_environment
12,0.7204319834709167,0.18450546264648438,correct_environment
13,0.5175051689147949,0.36278820037841797,correct_environment
14,0.5585035681724548,0.03839874267578125,correct_environment
15,0.6022626161575317,0.6013031005859375,correct_environment
16,0.539161741733551,-0.05163860321044922,missed_gain
17,0.3095428943634033,0.18886661529541016,correct_environment
18,0.440412700176239,-0.07959365844726562,missed_gain
19,1.058885097503662,-0.11281204223632812,missed_gain
20,1.217812180519104,-0.2064189910888672,missed_gain
21,0.8997275829315186,-0.2741236686706543,missed_gain
22,0.8562231659889221,-0.11604785919189453,missed_gain
23,0.8676499724388123,0.29793596267700195,correct_environment
24,0.870429515838623,0.20364809036254883,correct_environment
25,0.6191213130950928,0.13742733001708984,correct_environment
26,0.5244203209877014,0.4576992988586426,correct_environment
27,1.0892914533615112,0.21840620040893555,correct_environment
28,1.116754412651062,0.48659324645996094,correct_environment
29,2.6570117473602295,0.5316667556762695,correct_environment
30,3.6881489753723145,0.6264152526855469,correct_environment
31,2.7798306941986084,0.6016941070556641,correct_environment
32,3.27836537361145,0.8059835433959961,correct_environment
33,4.708388805389404,0.9222478866577148,correct_environment
34,2.5817739963531494,0.2700014114379883,correct_environment
35,0.8852081298828125,0.5901641845703125,correct_environment
36,1.0157113075256348,0.43369579315185547,correct_environment
37,1.491825819015503,0.4813385009765625,correct_environment
38,1.6735568046569824,0.6083450317382812,correct_environment
39,0.6532834768295288,-0.3740863800048828,missed_gain
40,0.5607197880744934,0.21833038330078125,correct_environment
41,0.6254135370254517,-0.8679361343383789,missed_gain
42,0.4305320084095001,-0.47553443908691406,missed_gain
43,0.625906765460968,0.14667224884033203,correct_environment
44,0.6425179243087769,-0.039933204650878906,missed_gain
45,0.6894659996032715,-0.05127143859863281,missed_gain
46,0.5449441075325012,0.4253683090209961,correct_environment
47,0.666598379611969,-0.008069992065429688,missed_gain
48,0.6083574295043945,-0.31662464141845703,missed_gain
49,0.8852354884147644,0.6007375717163086,correct_environment
50,0.7268425226211548,0.2760181427001953,correct_environment
51,0.3921751081943512,0.4492521286010742,correct_environment
52,0.4523853659629822,0.16113758087158203,correct_environment
53,0.006160126067698002,0.3665599822998047,correct_environment
54,0.9050157070159912,0.5970249176025391,correct_environment
55,1.0222119092941284,0.4191722869873047,correct_environment
56,1.1740317344665527,0.3598012924194336,correct_environment
57,0.7711954116821289,-0.20311546325683594,missed_gain
58,0.5734460949897766,-0.23251914978027344,missed_gain
59,0.7623081207275391,0.0851907730102539,correct_environment
60,0.7540484070777893,0.8299350738525391,correct_environment
61,0.7199124097824097,0.4246330261230469,correct_environment
62,0.7861480712890625,-0.044559478759765625,missed_gain
63,0.728924036026001,0.047173500061035156,correct_environment
64,0.6666079759597778,-0.4405651092529297,missed_gain
65,0.571308434009552,0.18081283569335938,correct_environment
66,0.48795822262763977,0.1217031478881836,correct_environment
67,0.4837041199207306,-0.4208030700683594,missed_gain
68,0.9680975079536438,0.039250850677490234,correct_environment
