category_type,category,expert_0,expert_1,expert_2
workday_holiday,holiday,0.0,1.0,0.0
workday_holiday,workday,0.0,1.0,0.0
hour,0,0.0,1.0,0.0
hour,1,0.0,1.0,0.0
hour,2,0.0,1.0,0.0
hour,3,0.0,1.0,0.0
hour,4,0.0,1.0,0.0
hour,5,0.0,1.0,0.0
hour,6,0.0,1.0,0.0
hour,7,0.0,1.0,0.0
hour,8,0.0,1.0,0.0
hour,9,0.0,1.0,0.0
hour,10,0.0,1.0,0.0
hour,11,0.0,1.0,0.0
hour,12,0.0,1.0,0.0
hour,13,0.0,1.0,0.0
hour,14,0.0,1.0,0.0
hour,15,0.0,1.0,0.0
hour,16,0.0,1.0,0.0
hour,17,0.0,1.0,0.0
hour,18,0.0,1.0,0.0
hour,19,0.0,1.0,0.0
hour,20,0.0,1.0,0.0
hour,21,0.0,1.0,0.0
hour,22,0.0,1.0,0.0
hour,23,0.0,1.0,0.0
rush_hour,non_rush_hour,0.0,1.0,0.0
rush_hour,rush_hour,0.0,1.0,0.0
